Date,Open,High,Low,Close,Volume,Adj Close
30-Mar-17,144.19,144.5,143.5,143.93,21207252,29.86
29-Mar-17,143.68,144.49,143.19,144.12,29189955,29.84
28-Mar-17,140.91,144.04,140.62,143.8,33374805,29.9
27-Mar-17,139.39,141.22,138.62,140.88,23575094,30.1
24-Mar-17,141.5,141.74,140.35,140.64,22395563,31.28
23-Mar-17,141.26,141.58,140.61,140.92,20346301,31.3
22-Mar-17,139.84,141.6,139.76,141.42,25860165,31.86
21-Mar-17,142.11,142.8,139.73,139.84,39529912,32.12
20-Mar-17,140.4,141.5,140.23,141.46,21542038,32.21
17-Mar-17,141,141,139.89,139.99,43884952,32.37
16-Mar-17,140.72,141.02,140.26,140.69,19231998,31.98
15-Mar-17,139.41,140.75,139.02,140.46,25691774,32.06
14-Mar-17,139.3,139.65,138.84,138.99,15309065,32.02
13-Mar-17,138.85,139.43,138.82,139.2,17421717,32.09
10-Mar-17,139.25,139.36,138.64,139.14,19612801,31.75
9-Mar-17,138.74,138.79,137.05,138.68,22155904,32.11
8-Mar-17,138.95,139.8,138.82,139,18707236,32.62
7-Mar-17,139.06,139.98,138.79,139.52,17446297,32.77
6-Mar-17,139.36,139.77,138.6,139.34,21750044,32.38
3-Mar-17,138.78,139.83,138.59,139.78,21571121,32.99
2-Mar-17,140,140.28,138.76,138.96,26210984,33.2
1-Mar-17,137.89,140.15,137.6,139.79,36414585,33.69
28-Feb-17,137.08,137.44,136.7,136.99,23482860,33.57
27-Feb-17,137.14,137.44,136.28,136.93,20257426,34.07
24-Feb-17,135.91,136.66,135.28,136.66,21776585,34.22
23-Feb-17,137.38,137.48,136.3,136.53,20788186,34.37
22-Feb-17,136.43,137.12,136.11,137.11,20836932,34.28
21-Feb-17,136.23,136.75,135.98,136.7,24507156,34.54
17-Feb-17,135.1,135.83,135.1,135.72,22198197,34.61
16-Feb-17,135.67,135.9,134.84,135.34,22584555,34.63
15-Feb-17,135.52,136.27,134.62,135.51,35623100,35.1
14-Feb-17,133.47,135.09,133.25,135.02,33226223,35.56
13-Feb-17,133.08,133.82,132.75,133.29,23035421,35.34
10-Feb-17,132.46,132.94,132.05,132.12,20065458,35.3
9-Feb-17,131.65,132.44,131.12,132.42,28349859,34.94
8-Feb-17,131.35,132.22,131.22,132.04,23004072,37.03
7-Feb-17,130.54,132.09,130.45,131.53,38183841,38.07
6-Feb-17,129.13,130.5,128.9,130.29,26845924,38.69
3-Feb-17,128.31,129.19,128.16,129.08,24507301,38.5
2-Feb-17,127.98,129.39,127.78,128.53,33710411,37.43
1-Feb-17,127.03,130.49,127.01,128.75,111985040,37.37
31-Jan-17,121.15,121.39,120.62,121.35,49200993,38.38
30-Jan-17,120.93,121.63,120.66,121.63,30377503,37.3
27-Jan-17,122.14,122.35,121.6,121.95,20562944,38.05
26-Jan-17,121.67,122.44,121.6,121.94,26337576,36.95
25-Jan-17,120.42,122.1,120.28,121.88,32586673,36.57
24-Jan-17,119.55,120.1,119.5,119.97,23211038,35.18
23-Jan-17,120,120.81,119.77,120.08,22050218,33.69
